SKU,SKU,0
AN202-ORANGE-L,AN202-ORANGE-L,1.0
AN202-ORANGE-M,AN202-ORANGE-M,1.0
AN202-ORANGE-S,AN202-ORANGE-S,1.0
AN202-ORANGE-XL,AN202-ORANGE-XL,1.0
AN202-ORANGE-XXL,AN202-ORANGE-XXL,1.0
AN204-PURPLE-M,AN204-PURPLE-M,1.0
AN205-YELLOW-L,AN205-YELLOW-L,1.0
AN205-YELLOW-M,AN205-YELLOW-M,1.0
AN205-YELLOW-S,AN205-YELLOW-S,1.0
AN209-BIEGE-XXL,AN209-BIEGE-XXL,1.0
BL009-61BLACK,BL009-61BLACK,5.0
BL011-62PINK,BL011-62PINK,1.0
BL013-62BLACK,BL013-62BLACK,1.0
BL014,BL014,1.0
BL020-71RED,BL020-71RED,4.0
BL023-74PINK,BL023-74PINK,1.0
BL024-74RED,BL024-74RED,1.0
BL025-74BLACK,BL025-74BLACK,1.0
BL026-74BEIGE,BL026-74BEIGE,1.0
BL030-78BEIGE,BL030-78BEIGE,4.0
BL050-83RED,BL050-83RED,1.0
BL055-164GOLD,BL055-164GOLD,4.0
BL078-87BLACK,BL078-87BLACK,4.0
BL084-187GOLD,BL084-187GOLD,4.0
BL085-L,BL085-L,3.0
BL085-M,BL085-M,2.0
BL085-XL,BL085-XL,2.0
BL085-XXL,BL085-XXL,2.0
BL086-L,BL086-L,2.0
BL086-M,BL086-M,2.0
BL086-S,BL086-S,2.0
BL086-XL,BL086-XL,2.0
BL086-XS,BL086-XS,2.0
BL087-L,BL087-L,3.0
BL087-M,BL087-M,3.0
BL087-XL,BL087-XL,2.0
BL087-XXL,BL087-XXL,2.0
BL091-XL,BL091-XL,1.0
BL092-L,BL092-L,2.0
BL092-M,BL092-M,2.0
BL092-XL,BL092-XL,2.0
BL092-XXL,BL092-XXL,2.0
BL093-L,BL093-L,3.0
BL093-M,BL093-M,3.0
BL093-S,BL093-S,2.0
BL093-XL,BL093-XL,2.0
BL093-XS,BL093-XS,2.0
BL097-L,BL097-L,1.0
BL097-M,BL097-M,2.0
BL097-XL,BL097-XL,2.0
BL097-XXL,BL097-XXL,1.0
BL098-M,BL098-M,1.0
BL099-L,BL099-L,1.0
BL099-M,BL099-M,1.0
BL099-XL,BL099-XL,4.0
BL099-XXL,BL099-XXL,3.0
BL100-L,BL100-L,3.0
BL100-M,BL100-M,2.0
BL100-S,BL100-S,2.0
BL100-XL,BL100-XL,2.0
BL100-XS,BL100-XS,2.0
BL102-M,BL102-M,1.0
BL103-M,BL103-M,4.0
BL103-S,BL103-S,1.0
BL103-XXL,BL103-XXL,2.0
BL104-L,BL104-L,1.0
BL104-M,BL104-M,3.0
BL104-S,BL104-S,1.0
BL104-XL,BL104-XL,4.0
BL104-XXL,BL104-XXL,2.0
BL107-L,BL107-L,2.0
BL107-M,BL107-M,2.0
BL107-XL,BL107-XL,2.0
BL107-XXL,BL107-XXL,2.0
BL109-L,BL109-L,1.0
BL109-M,BL109-M,1.0
BL109-XL,BL109-XL,1.0
BL110-L,BL110-L,2.0
BL110-M,BL110-M,2.0
BL110-S,BL110-S,2.0
BL110-XL,BL110-XL,2.0
BL110-XS,BL110-XS,2.0
BL111-L,BL111-L,2.0
BL111-M,BL111-M,2.0
BL111-S,BL111-S,2.0
BL111-XL,BL111-XL,2.0
BL111-XS,BL111-XS,2.0
BL113-L,BL113-L,2.0
BL113-M,BL113-M,2.0
BL113-S,BL113-S,2.0
BL113-XL,BL113-XL,2.0
BL113-XS,BL113-XS,2.0
BTM002-L,BTM002-L,165.0
BTM002-M,BTM002-M,23.0
BTM002-S,BTM002-S,11.0
BTM002-XL,BTM002-XL,141.0
BTM002-XS,BTM002-XS,3.0
BTM002-XXL,BTM002-XXL,40.0
BTM002-XXXL,BTM002-XXXL,155.0
BTM003-L,BTM003-L,18.0
BTM003-M,BTM003-M,1.0
BTM003-S,BTM003-S,1.0
BTM003-XL,BTM003-XL,21.0
BTM003-XXL,BTM003-XXL,51.0
BTM003-XXXL,BTM003-XXXL,3.0
BTM005-L,BTM005-L,141.0
BTM005-M,BTM005-M,8.0
BTM005-S,BTM005-S,4.0
BTM005-XL,BTM005-XL,136.0
BTM005-XS,BTM005-XS,4.0
BTM005-XXL,BTM005-XXL,132.0
BTM005-XXXL,BTM005-XXXL,134.0
BTM008-L,BTM008-L,2.0
BTM008-M,BTM008-M,4.0
BTM008-S,BTM008-S,2.0
BTM008-XL,BTM008-XL,2.0
BTM008-XS,BTM008-XS,2.0
BTM008-XXL,BTM008-XXL,6.0
BTM008-XXXL,BTM008-XXXL,4.0
BTM021-L,BTM021-L,76.0
BTM021-M,BTM021-M,4.0
BTM021-S,BTM021-S,3.0
BTM021-XL,BTM021-XL,134.0
BTM021-XS,BTM021-XS,3.0
BTM021-XXL,BTM021-XXL,104.0
BTM021-XXXL,BTM021-XXXL,131.0
BTM026-NP-L,BTM026-NP-L,3.0
BTM026-NP-M,BTM026-NP-M,1.0
BTM026-NP-S,BTM026-NP-S,1.0
BTM026-NP-XXL,BTM026-NP-XXL,1.0
BTM027-NP-L,BTM027-NP-L,11.0
BTM027-NP-M,BTM027-NP-M,3.0
BTM027-NP-S,BTM027-NP-S,3.0
BTM027-NP-XL,BTM027-NP-XL,13.0
BTM027-NP-XS,BTM027-NP-XS,3.0
BTM027-NP-XXL,BTM027-NP-XXL,129.0
BTM027-NP-XXXL,BTM027-NP-XXXL,129.0
BTM029-NP-L,BTM029-NP-L,19.0
BTM029-NP-M,BTM029-NP-M,1.0
BTM029-NP-XL,BTM029-NP-XL,99.0
BTM029-NP-XXL,BTM029-NP-XXL,131.0
BTM029-NP-XXXL,BTM029-NP-XXXL,136.0
BTM030-NP-L,BTM030-NP-L,129.0
BTM030-NP-M,BTM030-NP-M,1.0
BTM030-NP-S,BTM030-NP-S,1.0
BTM030-NP-XL,BTM030-NP-XL,129.0
BTM030-NP-XS,BTM030-NP-XS,1.0
BTM030-NP-XXL,BTM030-NP-XXL,129.0
BTM030-NP-XXXL,BTM030-NP-XXXL,129.0
BTM031-NP-L,BTM031-NP-L,11.0
BTM031-NP-M,BTM031-NP-M,2.0
BTM031-NP-S,BTM031-NP-S,1.0
BTM031-NP-XL,BTM031-NP-XL,1.0
BTM031-NP-XL.,BTM031-NP-XL.,2.0
BTM031-NP-XS,BTM031-NP-XS,1.0
BTM031-NP-XXL,BTM031-NP-XXL,53.0
BTM031-NP-XXXL,BTM031-NP-XXXL,35.0
BTM032-NP-XL,BTM032-NP-XL,2.0
BTM032-NP-XXXL,BTM032-NP-XXXL,3.0
BTM033-NP-L,BTM033-NP-L,1.0
BTM033-NP-XL,BTM033-NP-XL,1.0
BTM035-NP-L,BTM035-NP-L,1.0
BTM035-NP-M,BTM035-NP-M,1.0
BTM035-NP-S,BTM035-NP-S,1.0
BTM035-NP-XL,BTM035-NP-XL,1.0
BTM035-NP-XS,BTM035-NP-XS,1.0
BTM035-NP-XXL,BTM035-NP-XXL,2.0
BTM035-NP-XXXL,BTM035-NP-XXXL,1.0
BTM036-PP-L,BTM036-PP-L,2.0
BTM036-PP-XL,BTM036-PP-XL,2.0
BTM036-PP-XXL,BTM036-PP-XXL,2.0
BTM036-PP-XXXL,BTM036-PP-XXXL,2.0
BTM037-PP-L,BTM037-PP-L,8.0
BTM037-PP-XXXL,BTM037-PP-XXXL,8.0
BTM038-PP-L,BTM038-PP-L,42.0
BTM038-PP-M,BTM038-PP-M,10.0
BTM038-PP-XL,BTM038-PP-XL,138.0
BTM038-PP-XS,BTM038-PP-XS,1.0
BTM038-PP-XXL,BTM038-PP-XXL,18.0
BTM038-PP-XXXL,BTM038-PP-XXXL,136.0
BTM039-PP-L,BTM039-PP-L,44.0
BTM039-PP-M,BTM039-PP-M,12.0
BTM039-PP-S,BTM039-PP-S,3.0
BTM039-PP-XL,BTM039-PP-XL,138.0
BTM039-PP-XS,BTM039-PP-XS,1.0
BTM039-PP-XXL,BTM039-PP-XXL,130.0
BTM039-PP-XXXL,BTM039-PP-XXXL,98.0
BTM040-PP-L,BTM040-PP-L,51.0
BTM040-PP-M,BTM040-PP-M,1.0
BTM040-PP-S,BTM040-PP-S,1.0
BTM040-PP-XL,BTM040-PP-XL,129.0
BTM040-PP-XS,BTM040-PP-XS,1.0
BTM040-PP-XXL,BTM040-PP-XXL,129.0
BTM040-PP-XXXL,BTM040-PP-XXXL,73.0
BTM041-PP-L,BTM041-PP-L,1.0
BTM041-PP-M,BTM041-PP-M,1.0
BTM041-PP-S,BTM041-PP-S,1.0
BTM041-PP-XL,BTM041-PP-XL,1.0
BTM041-PP-XS,BTM041-PP-XS,1.0
BTM041-PP-XXL,BTM041-PP-XXL,1.0
BTM041-PP-XXXL,BTM041-PP-XXXL,1.0
BTM042-PP-L,BTM042-PP-L,13.0
BTM042-PP-M,BTM042-PP-M,11.0
BTM042-PP-S,BTM042-PP-S,1.0
BTM042-PP-XL,BTM042-PP-XL,13.0
BTM042-PP-XS,BTM042-PP-XS,1.0
BTM042-PP-XXL,BTM042-PP-XXL,3.0
BTM042-PP-XXXL,BTM042-PP-XXXL,11.0
BTM043-PP-L,BTM043-PP-L,2.0
BTM043-PP-M,BTM043-PP-M,2.0
BTM043-PP-XL,BTM043-PP-XL,2.0
BTM044-PP-L,BTM044-PP-L,74.0
BTM044-PP-XL,BTM044-PP-XL,74.0
BTM044-PP-XXL,BTM044-PP-XXL,74.0
BTM044-PP-XXXL,BTM044-PP-XXXL,74.0
BTM045-PP-L,BTM045-PP-L,1.0
BTM045-PP-M,BTM045-PP-M,1.0
BTM045-PP-S,BTM045-PP-S,1.0
BTM045-PP-XL,BTM045-PP-XL,1.0
BTM045-PP-XS,BTM045-PP-XS,1.0
BTM045-PP-XXL,BTM045-PP-XXL,1.0
BTM045-PP-XXXL,BTM045-PP-XXXL,1.0
BTM046-PP-L,BTM046-PP-L,76.0
BTM046-PP-M,BTM046-PP-M,2.0
BTM046-PP-S,BTM046-PP-S,1.0
BTM046-PP-XL,BTM046-PP-XL,52.0
BTM046-PP-XXL,BTM046-PP-XXL,129.0
BTM046-PP-XXXL,BTM046-PP-XXXL,130.0
BTM047-PP-L,BTM047-PP-L,75.0
BTM047-PP-M,BTM047-PP-M,1.0
BTM047-PP-S,BTM047-PP-S,1.0
BTM047-PP-XL,BTM047-PP-XL,77.0
BTM047-PP-XS,BTM047-PP-XS,1.0
BTM047-PP-XXL,BTM047-PP-XXL,75.0
BTM047-PP-XXXL,BTM047-PP-XXXL,75.0
BTM048-PP-L,BTM048-PP-L,18.0
BTM048-PP-XL,BTM048-PP-XL,82.0
BTM048-PP-XXL,BTM048-PP-XXL,74.0
BTM048-PP-XXXL,BTM048-PP-XXXL,82.0
CH202-ORANGE-L,CH202-ORANGE-L,1.0
CH202-ORANGE-M,CH202-ORANGE-M,1.0
CH202-ORANGE-S,CH202-ORANGE-S,1.0
CH202-ORANGE-XL,CH202-ORANGE-XL,1.0
CH202-ORANGE-XXL,CH202-ORANGE-XXL,1.0
CH205-YELLOW-XXL,CH205-YELLOW-XXL,1.0
CH207-PINK-XXL,CH207-PINK-XXL,1.0
CH208-MUSTARD-M,CH208-MUSTARD-M,1.0
CH208-MUSTARD-XXL,CH208-MUSTARD-XXL,1.0
CH209-BIEGE-S,CH209-BIEGE-S,1.0
CH209-BIEGE-XXL,CH209-BIEGE-XXL,2.0
CH213-BROWN-M,CH213-BROWN-M,1.0
