,SKU,0
1125,J0239-SKD-L,1746.7999999999993
3653,SET110-KR-PP-M,1440.5
1128,J0239-SKD-XL,1420.1500000000015
3652,SET110-KR-PP-L,1394.0499999999993
3749,SET186-KR-DH-M,1363.2999999999993
3748,SET186-KR-DH-L,1271.2999999999993
975,J0197-TP-L,1100.550000000001
976,J0197-TP-M,1044.2000000000007
3845,SET210-KR-PP-L,1033.9000000000015
3654,SET110-KR-PP-S,945.4500000000007
3846,SET210-KR-PP-M,909.7999999999993
3639,SET098-KR-PP-L,855.4000000000015
3751,SET186-KR-DH-XL,850.2999999999993
3640,SET098-KR-PP-M,846.9000000000015
2479,JNE3640-TP-L,821.25
3642,SET098-KR-PP-XL,780.6499999999996
3560,SET038-KR-PP-M,777.25
3848,SET210-KR-PP-XL,754.7999999999993
1234,J0283-SET-L,748.0499999999993
1158,J0244-SKD-L,740.6000000000004
3561,SET038-KR-PP-S,731.25
2482,JNE3640-TP-XL,718.3499999999985
276,J0001-DR-L,701.3500000000004
726,J0138-KR-L,698.1599999999999
978,J0197-TP-XL,693.2000000000007
3593,SET058-KR-NP-M,688.7999999999993
3567,SET043-KR-NP-M,686.7999999999993
3569,SET043-KR-NP-XL,686.7999999999993
1126,J0239-SKD-M,669.5
472,J0084-TP-L,662.6900000000005
3750,SET186-KR-DH-S,662.5
473,J0084-TP-M,662.3900000000003
919,J0185-DR-L,662.0
727,J0138-KR-M,658.8099999999995
3655,SET110-KR-PP-XL,657.1499999999996
1164,J0245-SKD-XL,654.7999999999993
1163,J0245-SKD-M,654.7999999999993
1162,J0245-SKD-L,654.7999999999993
675,J0129-SET-M,653.4599999999991
1910,JNE3440-KR-L,651.130000000001
277,J0001-DR-M,642.0
3765,SET188-KR-NP-XL,633.2999999999993
3763,SET188-KR-NP-M,633.2999999999993
3762,SET188-KR-NP-L,633.2999999999993
3592,SET058-KR-NP-L,632.6499999999996
3595,SET058-KR-NP-XL,632.2999999999993
839,J0166-DR-M,632.0
838,J0166-DR-L,632.0
2167,JNE3554-KR-M,625.0
1235,J0283-SET-M,623.0499999999993
674,J0129-SET-L,618.7999999999993
677,J0129-SET-XL,618.7999999999993
1674,JNE3288-KR-L,613.6000000000004
1000,J0202-TP-M,612.3999999999996
999,J0202-TP-L,611.8999999999996
4131,SET273-KR-NP-M,603.5
920,J0185-DR-M,596.0
1159,J0244-SKD-M,592.3500000000004
1675,JNE3288-KR-M,585.6000000000004
1677,JNE3288-KR-XL,585.6000000000004
681,J0130-SET-M,582.6500000000015
