SKU,Demand
AN202-ORANGE-L,2
AN202-ORANGE-M,2
AN202-ORANGE-S,2
AN202-ORANGE-XL,2
AN202-ORANGE-XXL,2
AN204-PURPLE-M,2
AN205-YELLOW-L,2
AN205-YELLOW-M,2
AN205-YELLOW-S,2
AN209-BIEGE-XXL,2
BL009-61BLACK,4
BL011-62PINK,2
BL013-62BLACK,2
BL014,2
BL020-71RED,8
BL023-74PINK,2
BL024-74RED,2
BL025-74BLACK,2
BL026-74BEIGE,2
BL030-78BEIGE,8
BL050-83RED,2
BL055-164GOLD,2
BL078-87BLACK,8
BL084-187GOLD,8
BL085-L,6
BL085-M,4
BL085-XL,4
BL085-XXL,4
BL086-L,4
BL086-M,4
BL086-S,4
BL086-XL,4
BL086-XS,4
BL087-L,6
BL087-M,6
BL087-XL,4
BL087-XXL,4
BL091-XL,2
BL092-L,4
BL092-M,4
BL092-XL,4
BL092-XXL,4
BL093-L,6
BL093-M,6
BL093-S,4
BL093-XL,4
BL093-XS,4
BL097-L,2
BL097-M,4
BL097-XL,4
BL097-XXL,2
BL098-M,2
BL099-L,2
BL099-M,2
BL099-XL,8
BL099-XXL,6
BL100-L,6
BL100-M,4
BL100-S,4
BL100-XL,4
BL100-XS,4
BL102-M,2
BL103-M,2
BL103-S,2
BL103-XXL,4
BL104-L,2
BL104-M,6
BL104-S,2
BL104-XL,8
BL104-XXL,4
BL107-L,4
BL107-M,4
BL107-XL,4
BL107-XXL,4
BL109-L,2
BL109-M,2
BL109-XL,2
BL110-L,4
BL110-M,4
BL110-S,4
BL110-XL,4
BL110-XS,4
BL111-L,4
BL111-M,4
BL111-S,4
BL111-XL,4
BL111-XS,4
BL113-L,4
BL113-M,4
BL113-S,4
BL113-XL,4
BL113-XS,4
BTM002-XS,6
BTM003-L,4
BTM003-M,2
BTM003-S,2
BTM003-XXL,6
BTM003-XXXL,6
BTM005-S,8
BTM005-XS,8
BTM008-L,4
BTM008-M,8
BTM008-S,4
BTM008-XL,4
BTM008-XS,4
BTM008-XXXL,8
BTM021-M,8
BTM021-S,6
BTM021-XS,6
BTM026-NP-L,6
BTM026-NP-M,2
BTM026-NP-S,2
BTM026-NP-XXL,2
BTM027-NP-M,6
BTM027-NP-S,6
BTM027-NP-XS,6
BTM027-NP-XXL,6
BTM027-NP-XXXL,6
BTM029-NP-L,6
BTM029-NP-M,2
BTM029-NP-XL,6
BTM029-NP-XXXL,8
BTM030-NP-L,6
BTM030-NP-M,2
BTM030-NP-S,2
BTM030-NP-XL,6
BTM030-NP-XS,2
BTM030-NP-XXL,6
BTM030-NP-XXXL,6
BTM031-NP-M,4
BTM031-NP-S,2
BTM031-NP-XL,2
BTM031-NP-XL.,4
BTM031-NP-XS,2
BTM032-NP-XL,4
BTM032-NP-XXXL,6
BTM033-NP-L,2
BTM033-NP-XL,2
BTM035-NP-L,2
BTM035-NP-M,2
BTM035-NP-S,2
BTM035-NP-XL,2
BTM035-NP-XS,2
BTM035-NP-XXL,4
BTM035-NP-XXXL,2
BTM036-PP-L,4
BTM036-PP-XL,4
BTM036-PP-XXL,4
BTM036-PP-XXXL,4
BTM037-PP-L,4
BTM037-PP-XXXL,4
BTM038-PP-M,8
BTM038-PP-XS,2
BTM038-PP-XXL,4
BTM038-PP-XXXL,8
BTM039-PP-S,6
BTM039-PP-XS,2
BTM039-PP-XXL,8
BTM039-PP-XXXL,4
BTM040-PP-L,6
BTM040-PP-M,2
BTM040-PP-S,2
BTM040-PP-XL,6
BTM040-PP-XS,2
BTM040-PP-XXL,6
BTM040-PP-XXXL,6
BTM041-PP-L,2
BTM041-PP-M,2
BTM041-PP-S,2
BTM041-PP-XL,2
BTM041-PP-XS,2
BTM041-PP-XXL,2
BTM041-PP-XXXL,2
BTM042-PP-S,2
BTM042-PP-XS,2
BTM042-PP-XXL,6
BTM043-PP-L,4
BTM043-PP-M,4
BTM043-PP-XL,4
BTM044-PP-L,8
BTM044-PP-XL,8
BTM044-PP-XXL,8
BTM044-PP-XXXL,8
BTM045-PP-L,2
BTM045-PP-M,2
BTM045-PP-S,2
BTM045-PP-XL,2
BTM045-PP-XS,2
BTM045-PP-XXL,2
BTM045-PP-XXXL,2
BTM046-PP-M,4
BTM046-PP-S,2
BTM046-PP-XL,8
BTM046-PP-XXL,6
BTM046-PP-XXXL,8
BTM047-PP-M,2
BTM047-PP-S,2
BTM047-PP-XS,2
BTM048-PP-L,4
